instagram_comments,offensive_language,offensiveness_levels,hate_speech
Empate técnico!! 😂😂😂😂😂,0,0,0
"Parabéns, felicidades Alexandre Garcia.👏👏👏",0,0,0
Isto e vetdade,0,0,0
Pirralha mesmo!!!,1,1,-1
Top demais..👏👏👏👏 vivemos realmente um colapso..,0,0,0
"Deputados, senadores quebram decoro, rasgam a constituição e nada acontece com vcs!",0,0,0
Ela é uma piada pronta!! 😂😂😂😂,1,2,-1
"FELIZES BOLSOOTARIOS?????? A CADA DIA BOLSOMERDA MOSTRA COM CLAREZA, QUE USOU VOCES, COMO O PESSOAL DO MATO USA O SABUGO DE MILHO.....PARA LIMPAR O CÚ!!!! ENTAO CAPIAUS BOLSOOTARIOS COMO SE SENTEM COMO SABUGOS DE MILHO DE BOLSOMERDA????? SE APENAS ATINGISSE VOCES, ESTRUMES, TUDO BEM,SERIA OTIMO!!!!! MAS VAI ATINGIR A TODOS, QUE NAO SAO IMBECIS COMO VOCES, BOLSOCAPIAUS!!! INFAMES!!!!💩💩💩🐴🐀🐀🐀🐀🐀🐀🐴🐴🐴🐴",1,3,5
Trapaceiro,1,1,-1
Só maracutaia!!!,1,1,-1
Que absurdo meu Deus!!!! Na ditadura uma dessa neguinho ia pro xilindró... ninguém vai fazer nada???🥵🥵🥵🥵🥵🥵,1,2,2
É isso aí minha jovem. É luta,0,0,0
"Eu esperava tudo nessa vida, menos a Globo passar tanta vergonha! Que jornalistas tendenciosas, não escapam um. Todos com viés ideológico contra o Governo Federal, que até agora não fez nada de bom para essa emissora lixo.",1,1,-1
"Saudades, Haddad, saudades...",0,0,0
"Alguém ainda dúvida q vivemos uma ditadura do Congresso, Senado e Supremo? Desse jeito vai cobtinyar tudo como Dantes no quartel de Abrantes! E o Exército se fingindo de morto!😐",1,1,-1
Bando de FDP 💩💩💩💩💩,1,1,-1
"Mestre eu sou seu fã ,votei e sempre votarei no Sr.👍",0,0,0
Que massa! 🤘🏻,0,0,0
Parabéns! DR. Fachin.,0,0,0
Que horas vai ser transmitido e qual canal,0,0,0
"Apoiado. Deus deu dois olhos, dois ouvidos e somente uma boca. Os filhos Se Acham e complicam o presidente. Cala-te !",0,0,0
Hospício já para a estocasora de vento. Viva ustra.,1,2,2
LA GRETA QUE LA PARIU,1,3,-1
Essa baixaria que vc está fazendo me faz ter uma certeza: igual ou pior que ela!!!,1,2,-1
Essa eu não perco por nada👋👏👏👏🙏🏽🇧🇷,0,0,0
Ridículo!!!,1,1,-1
Aquele zoom maroto no Haddad lindão! Meu presidente maravilhoso!,0,0,0
"Joice,você 👎👎👎👎👎👎👎",0,0,0
"Gleisi, vc é a pior coisa que nasceu no Paraná!",1,2,-1
"Your words are like gasoline , and You put out 🔥 with gasoline.😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱 🔥 rainforest.",1,1,-1
"@carla.zambelli acho desnecessário esse tipo de postagem parece briga de crianças, ocupe sei tempo em prol do nosso país e não com picuinhas...",0,0,0
Condenado kkkkkkkkk 2 de cana,1,1,-1
Quanto preconceito em uma frase!,0,0,0
a hipocrisia e uma coisa terrivel que faço questao de jogar na cara dos esquerdopatas q atacam a ministra,1,3,5
Será que ele não pode ser responsabilizado por isso?,0,0,0
Para com essa briga. Todo mundo erra. Seja compassiva com os outros. Ou aguentaremos os ladroes da esquerda.,1,2,5
Maldito seja para todo o sempre.,1,2,-1
Esplêndida!!!,0,0,0
Como vc é em @joicehasselmannoficial mais do mesmo... Vc está dando nojo já... Que podre!,1,2,-1
"Parabéns pelo teu trabalho e teu engajamento, tão necessário ao contexto caótico em que temos vivido. És uma voz feminina importante no cenário atual. Gostaria apenas de trazer um ponto a respeito do Miss Universo. Hoje ele é bem mais do que um concurso de beleza. Tornou-se também um espaço de pleito, de posicionamento político, afinal como diz Focault, todo ser é político e, política se faz em todo lugar. Um beijo grande do extremo sul do Brasil ❤️",0,0,0
Lindão demais,0,0,0
Cortou logo o papo. Kkkkk,0,0,0
Este criminoso tem que voltar prisão 😱😱,1,1,-1
Vamos continuar lutando,0,0,0
As pessoas normais e que ainda têm capacidade de ver e entender o que está acontecendo,1,1,-1
@quebrandootabu isto pra vcs não é violência contra a mulher? Pq não compartilham este vídeo em sua página que defende tanto os direitos da mulher? Ela não merece só por ser ministra e fazer parte do governo que vcs odeiam?,0,0,0
Essa coisa só diz asneiras.,1,2,-1
"E por falar nisso, e a delação do paloci????",0,0,0
Essa PIRRALHA É MASSA DE MANOBRA E ponto final,1,3,-1
Turma do bem !,0,0,0
Maravilhosa,0,0,0
"Anotem o que vou falar 2020 será o melhor ano do brasil, podem escrever",0,0,0
Essa não vou perde,0,0,0
Se o Congresso ajudasse o Brasil já tinha decolado..,0,0,0
É um canalha esse Lula,1,1,-1
Parabéns professor! Você merece muito mais.💜💜💜,0,0,0
Eu amo haddad,0,0,0
Lamentável a sua mudança de postura.😢@joicehasselmannoficial .,0,0,0
Dois ícones,0,0,0
Esses aí dorme todo dia no colo do capeta! Jesus nao tem nada com essa corja nao.,1,1,-1
Nojo,1,2,-1
Lindos👍,0,0,0
"Parece que depois de um longo e tenebroso inverno, encontramos o caminho.",0,0,0
"BEM FEITO,TOMOU PAPUDA🐀",1,2,-1
"Dá desânimo de ler as notícias, lutamos tanto pra mudar as coisas e no fim não vira nada!! 😥",0,0,0
"Sinceramente, cada dia pior...",0,0,0
A ESQUERDA BRASILEIRA ESTÁ MORRTTAAAA,0,0,0
E a Previdência minguem fala mais nada !!,0,0,0
Saudades do que a gente não viveu...,0,0,0
Concordo c ele,0,0,0
Vamos assistir.... adoro ela... temos que ouvir coisas boas e as verdades da política.🍀👏🦋👏🍀🦋,0,0,0
O Boca de Lixo Tóxico,1,1,-1
Hipocristão 😎,1,3,7
Esse cara o futuro presidente do país.,0,0,0
A ONU vê esse discurso e faz o que pra mudar essa realidade?,0,0,0
"É um absurdo como são atacados os ministros do Presidente Bolsonaro, a ministra Damares Alves não merece ser atacada de maneira tão baixa assim😡",0,0,0
Tu mereces professor Haddad,0,0,0
PRESIDENTE NÃO TEM AUTORIDADE...QUE RAIO DE PRESIDENTE QUE NÃO MANDA....FECHA LOGO ESTE COVIL DE COBRAS....SENADORES CORRUPTOS...MAFIOSOS....,1,2,-1
Merecimento se diz? Que oportunidade o Brasil perdeu.. uma agenda com Haddad era produtiva na educação. 💪,0,0,0
Covarde ... Corone FDP,1,3,-1
Não adianta falar em preservação ambiental sem falar no fim do capitalismo.,0,0,0
Comemorando a invasao da Polonia pelos nazistas do hitler???,0,0,0
"Quando a fonte das notícias é o UOL, fórum e folha da são Paulo ja da pra sabe que é mentira oque foi escrito pelos jornalistas",0,0,0
Mas ele só disse verdades uma pirralha criança usada pela esquerda.,1,1,5
Isso é um boçal desqualificado.,1,3,-1
Deixa o pai governa fala de mais.,0,0,0
Que mulher linda!!! Parabéns ❤️❤️❤️❤️❤️❤️,0,0,0
Muito merecido. 👏👏👏👏,0,0,0
Tem que jogar esse lixo de volta para a cadeia,1,1,-1
O REGISTRO DE QUEM VAI FAZER A REVOLUÇÃO ACONTECER ✊🏻❤️!,0,0,0
VERDADE👏👏👏👏👏👏👏,0,0,0
"Vejo muito que se alimenta da escritura da Manuela,,prestem atenção na fala do presidente, não se deixe enganar e tire suas conclusões próprias,,",0,0,0
Bandido nojento!,1,1,-1
"Parabéns para essa menina linda👏👏👏👏 tudo o que ela disse é verdade. Infelizmente é tudo por dinheiro, o maldito dinheiro. O desrespeito com a natureza, seus ecossistemas, tá na hora de cuidarmos e protejer a mãe terra!!!! Acordem, não vamos comer dinheiro, é preciso preservar a nossa Amazônia, nossos índios, nossos animais inocentes!!!! Dinheiro não é tudoooooo.😭😭😭😭",0,0,0
Parabéns professor,0,0,0
Cara desomam,0,0,0
Esses aí são cachorro morto que ainda morde...precisamos ter td cuidado com o que vem do capiroto,1,2,-1
Bom dia futuro presidente do brasil👏,0,0,0
@jason_s_santana imagina se colocam algum artista que apoia o PT pra fazer essa pergunta!???,0,0,0
Ridículo,1,1,-1
"Ele não tem cacife para ser um representante do Povo,ele não tem capacidade intelectual de exercer cargos públicos. #ForaDeputadoTadeu",1,2,-1
Ridículo isso,1,2,-1
Parabéns merecido,0,0,0
Emocionante,0,0,0
"Isso é crime contra a nação, e tem fdp que ainda vota nesses canalhas.",1,1,-1
"Obrigado Manu,o povo argentino te abraça !🌷🌷❤❤",0,0,0
Ele esqueceu de amadurecer,0,0,0
Então a Globolixo vai fechar 😂😂por que publica fak,1,1,-1
"Quanta besteira. Ele nem falou nada demais e os safados já se aproveitam. Sen do PT fez ameaças ao Brasil no Twitter e não vimos vc Joice e nem essa Janaína rebatendo o mesmo. Agora querem calar um dep fed, é? Vcs já cansaram..",1,2,5
Simbora. Vamos dar a liberdade ao nosso querido presidente Luiz Inácio,0,0,0
Assustador. Demoníaco.,1,1,-1
Nunca desista de um sonho,0,0,0
Você merece Mestre,0,0,0
"Isso é um otario, zé ruela , só ele que dar trabalho ao governo do pai dele, esse bosta , e tu joice faz o teu e esquece ele",1,3,-1
"Morri ja na tua primeira frase, HAHAHAHAHAHHA 😂😂😂😂",0,0,0
Lulalixo da nojo de ouvir esse cara😁😁,1,3,-1
É pilantra.,1,2,-1
Que ela enfie a pena dela no $%$@&^ ... devolva nosso dinheiro isso sim. 🤔🤔,1,1,-1
Tem tantos bem mais importante pra eleger essa débil pra isso!,1,1,-1
Estamos crescendo isso se chama avanço. Essa equipe merece ser respeitada,0,0,0
Não tinha anulado este processo?,0,0,0
Fascusta maldito...O pior de tudo estiver que apesar de todas as lutas empreendidas pelos b,1,3,5
Ridículo! Bosta ambulante. #forabolsonaro 🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊,1,1,-1
Babaca!!!,1,3,-1
"Gente isso é muito criminoso! Chega! Tem que punir sem dó esses indivíduos de almas estragadas, para que o mal não contamine outras pessoas ... #SomosTodosDamares",1,1,-1
Da pra botar uma pá de petezada na cadeia então...,1,1,5
Nossa ela falou tudo que nós queríamos 👏,0,0,0
"@bolsonarosp por favor vamos evitar polêmica é tudo que a esquerda quer, combustível p provocar incêndio..🤔",0,0,0
#globolixo,1,2,-1
😂😂😂😂😂😂😂 fala burrice idiota,1,3,-1
"Gleise, vc irrita d+ os robôs nazifascitas, eles só vivem aqui! Continue assim!! 👏👏👏👏👏 #morojuizladrão",1,2,-1
Lixo de profissional,1,2,-1
Ja esta ultrapassando a hora de acabar com o Racismo ! Somos todos iguais perante Deus,0,0,0
"dois grandes educadores! parabéns, presidente! ❤️",0,0,0
"Em uma pessoa só é possível sentir o peso da representatividade. Estou admirado pela força, inteligência e beleza dessa mulher. Merecido título que realmente mudará algo no mundo",0,0,0
Parabéns!!!!,0,0,0
Top!!!,0,0,0
Filho da puta,1,1,-1
Perfeito! 🌹,0,0,0
"Não sei o que é mais precário: A Criança receber dinheiro à esse tipo de pouco e baixo argumento tão cedo, ou x -falta- fundamentalismo da boca suja do indivíduo ao pequeno...",0,0,0
"Este pessoal da Globo não se cansam de criticar o governo, tá difícil né Globo, o governo Bolsonaro da dando certo 🙏🙏🙏🙏🙏🙏🙏🙏🙏",0,0,0
Siiiimmm penso como você !!!!,0,0,0
Não resta dúvida alguma,0,0,0
Vamos a gerra 👹👹,0,0,0
"Avante Brasil...políticos que não querem com CERTEZA deixaremos no arquivo morto, digamos. Carla estamos com vc e outros com o mesmo foco.❤😘",0,0,0
"Os filhos do presidente calados, são poetas..",0,0,0
Nele até agora o Brasil pode confiar!! 🇧🇷🇧🇷🇧🇷,0,0,0
Educação e Cultura eternamente presentes em nossa evolução. 🏆👏👏👏🇧🇷,0,0,0
"Esse é cristão, pero no mucho... homenzinho de bem, né?",1,2,-1
"Bando de lixo, intocáveis até quando?",1,3,-1
Muito obrigada vs Experiência a senhora é a minha voz .,0,0,0
"Me perdoe, valorosa Dep. Carla Zambeli mas este nosso amado País está por demais corrompido em suas bases mais necessárias para o pleno desenvolvido do progresso tão almejado por todos nós brasileiros. O mal que se infiltrou no nosso meio só sairá se primeiro houver um tratamento de choque ( que tenho até receio de pronunciá-lo) , extirpando por completo a raiz de todos os males e cortando-lhes os veios que a alimenta e só depois partir para atitudes que hoje vemos sendo desenvolvidas no congresso e afins. Considero todo o Congresso Nacional como um símbolo universal necessário da democracia que é importante e imprescindivel para o desenvolvimento saudável dos povos mas o que vemos é um Congresso fraco, abatido, por um lado pela corrupção, por outro pelo desânimo, medo, descaso, irresponsabilidade e descompromisso com o povo, com a Nação. Lamento, mas no passo que estamos indo, chegará o tempo que terão toma",0,0,0
"nossa me arrepiei, tomara q existam mais Gretas no mundo",0,0,0
Glória a Deus 👏👏👏👏👏👏👏,0,0,0
"Tem que prender os congressistas que saquearam o país e se escondem atrás das leis que os beneficiam, isso sim",1,2,-1
"A população está se lixando para opinião da imprensa internacional, deputada. É uma pirralha mimada patrocinada por esquerdopatas inescrupulosos com objetivos escusos que ficaram milionários. O presidente da República tem razão",1,3,5
"Como podemos aceitar um ser humano, praticando um ato desses. O autor dessa carta deveria ser preso, pois não tem como continuar fazendo parte de uma sociedade.",0,0,0
Tem que pensar melhor antes de falar!!! Porque a esquerda pode falar o que quer ninguém diz nada (imprensa) Quando e do lado do Presidente ...qualquer coisa vira manchete! Então tem que ter muito cuidado mesmo!,0,0,0
Parabéns!,0,0,0
Presidente 2022🙏🏼,0,0,0
O que é dela tá guardado,1,3,-1
"Inaceitável! Esses fascista racistas estão tendo muito espaço. Cada vez que agem como agiu esse coronel, a quem eu jamais chamaria de vossa excelência, sem que haja qualquer punição ou consequencia, mais estimulados eles são para cometer seus desatinos. Eu o chamaria de vossa excrescência!",0,0,0
"É importante também contextualizarmos a fala do Feliciano. Não sou fã dele como pessoa mas entendo que essa fala pode estar relacionada à posição de Randolfe quanto aos acontecimentos na operação lava jato, onde ele se posicionou contra o ministro Sérgio Moro e compartilhou em suas redes sociais, mensagens que desqualificavam o ministro que, ao meu ver, é um dos responsáveis por colocar o Brasil no caminho certo na luta contra a corrupção.",0,0,0
Nasce um MITO 💜,0,0,0
Melhor legenda da história 😂,0,0,0
"Cara, um presidente desses!❤️🙌",0,0,0
Parabéns!!!!!!,0,0,0
"Se ferrou linguaruda, esquerdista idiota",1,2,5
🙀 Q nojooooo,1,1,-1
"Esse ta precisando ser internado , isso não é normal ..lixo",1,2,-1
Sem noção,1,1,-1
"👏👏👏👏👏👏👏essa mulher é uma grande guerreira, que Deus te livre e te guarde dona Benedita 👏👏👏👏👏😍😍",0,0,0
Linda,0,0,0
👏👏👏 #Lula livre Simm,0,0,0
Isso é incitar o ódio devia ser preso só poriço,1,1,-1
Maravilhoso! Nosso futuro presidente!!!,0,0,0
Essa é a mesma mente de um canalha chamado lula. É assim que ele ver uma mulher,1,2,5
"@joicehasselmannoficial ... Tá fazendo o que ainda nesse partido depois de tanta humilhação? Se respeita, cai fora desse escárnio",1,2,-1
Velho comunista safado,1,1,5
E chego a perder meu fôlego 👏👏👏👏,0,0,0
"Estou muito confiante o Brasil já deu certo, estão reclamando do preço da carne, culpando o presidente, ele não tem vacas, se tá caro não come, tem outras opções",0,0,0
"Toma, palhaça 🤦🤣🤣🤣",1,2,-1
"E os trabalhadores nem aí, não existe vontade de lutar por direitos, greve geral só na história",0,0,0
ESTE CANALHA NÃO PODE FICAR SOLTO .GRAÇAS A ESTE STF COMPOSTO PORINCOMPETENTES METADE COM RABO PRESO A DEFENDER BANDIDOD Q PODEM AGREDIR DOM FRASES TERRIVEIS NOSSO PRESIDENTE E SEUS MINISTROS INCLUSIVE ESTE BEBADO DECREPTO AGRIDE O MINISTRO MORO COM PALAVROES NÃO ACONTECE NADA MAIS DAÍ A INVESTIGAR MINISTRO DO STF. NAO PODE. Q DEMOCRACIA É ETA?,1,3,-1
#lulanaprisao,1,2,-1
Louco,1,2,-1
Maravilhoso 🚩,0,0,0
"A tá ,a esquerda pode falar que vai incendiar o país e ninguém fala nada.",0,0,0
"Sei, sei! Irresponsável. Fazer o que né! Eu entendi perfeitamente o que ele quis dizer. Mas e o Humberto Costa vai ser inquirido no conselho de ética? Interessante......",0,0,0
"E isso dá no que? Infelizmente ninguém é punido com a indignação, fica por isso mesmo.",0,0,0
@joserodrigope vê esse discurso,0,0,0
@bolsonarosp não perco por nada! 🔥,0,0,0
Bom dia minha linda aproveito suas postagens para dizer que TMJ gratidão! Quero agradecer a todos que colabararam direto e indiretamente para o acontecimento dessa audiência em defesa das nossas crianças! Com foco na vulnerabilidade da crianças e adolescentes e sobre a criação de um novo conselho tutelar para Juazeiro!,0,0,0
Parabéns ministro Fachin tenha coragem e seja firme nesse momento a maioria dos brasileiros está te apoiando,0,0,0
Que baita dupla!! 😍😍,0,0,0
"Os petralhas colocaram sua corja em todos os lugares, não salva ninguém, que tristeza ..",1,2,5
Pqp,1,2,-1
Deus é mais,0,0,0
Cadeia pro Lula já,1,2,-1
Data folha??? Oi???? 😂😂😂,0,0,0
Nao tem argumentos?!?! Vc é um covarde.,1,3,-1
Se assuma logo no centrão e pare de dizer que é de direita!!!!,0,0,0
"Exatamente, apesar de ser um concurso sem o menor valor necessário para o engrandecimento da sociedade. Ter uma mulher negra, com o cabelo dela, como a mulher mais bonita do mundo. É foda pra caralho! 👏🏿",0,0,0
Leilane mentirosa fofoqueira vcs não prestam só fica atacando nosso Presidente jornalista da Globo 🐍🐍🐍🐍🐍🐍🐍🐍🐍,1,3,-1
Muito boa essas medidas para os pobre que pensam e são ricos bota pra f,0,0,0
Um educador desses Brasil 🙌🏼,0,0,0
🤣🤣🤣🤣🤣🤣🤣#globolixo,1,2,-1
mais que merecido 👏,0,0,0
A esquerda resiste!!! 💪🏻✊🏻,0,0,0
Devia ter vergonha em falar a palavra honra,1,2,-1
So lixo,1,1,-1
Óleo de peroba pra lustrar a cara de pau!,1,3,-1
Um lixo,1,2,-1
🙏Leda muito inteligente 🔥,0,0,0
Quem não votou tb ajudou a elegê-lo,0,0,0
Incontestável,0,0,0
As vezes eles acertam,0,0,0
"@carla.zambelli Acho lamentável essa briga entre vcs, num momento em que deveriam estar de braços dados pe Brasil. 😔",0,0,0
essa imbecil falando e o cachorro cagando e a mesma coisa,1,3,-1
😂😂😂😂😂 vai se fuder globolixo,1,2,-1
"Ouvir um comentario desses desse grande jornalista econonico , é pra nos encher de orgulho. 💞👏👏👏🇧🇷",0,0,0
Circo,1,1,-1
cara eu acho você incrível.,0,0,0
"Rascismo, cabecario e cacar mandato🎆🎆🎆🎆",1,1,-1
Porque ela é uma ladra morfética,1,2,-1
Bandida como todos esquerdopatas,1,3,5
Ah tá,0,0,0
"😕😕😕PARTIDO COMUNISTA DO MAL, ESQUERDALHAS DEMENTES, ANTIPATRIOTAS DO CARAMBA, LIXOS",1,3,5
Violência inaceitável é culpar policiais de genocídio contra negros,0,0,0
"PSL , partido de bandido.",1,1,5
Me representam!,0,0,0
Aplausos para está ministra! 👏👏👏,0,0,0
Tem dinheiro... responde em liberdade 😡 lamentável,0,0,0
Melhor oportunidade da minha vida!❤️,0,0,0
Que escroto caquético! É a velha hipocrisia judaica no mundo dos pilantras monetários.,1,3,1
SE.VC.FAZER UMA PESQUISA. VC VAI VERBQIE MUITOS CONCORDAM. NAO DA MAIS ESSE STF ESSA ESQUERDA,0,0,0
"Esse velho tá ridículo já perdi todo o apreço por ele faz tempo , ele já se provou um velho louco por dinheiro e poder e chupa políticos que estão no poder .",1,2,-1
"Acho pouco, o sul elegeu esse imbecil, agora toma!",1,2,-1
"Não consigo entender. Uma pessoa comum, é solto e no mesmo dia convida seus seguidores a praticar violência contra o País. Já não basta o estrago que ele e seus aliados fizeram? Só por essa ameaça deveria ser tomado uma atitude, antes que as coisas piorem. Indignada.",0,0,0
"Lindos ,guerreiros .❤️👏👏👏",0,0,0
Hahahaha virou uma Índia quando elegeu ele...,0,0,0
Deveria tocar o coração destes governantes malditos,1,1,-1
"Sei não hein!? Pertinente, porém vejo um desvio de pensamento arquitetado aí!",1,3,-1
É assim que covardes sem argumentos se “defendem”...,1,1,-1
Para que eu vou vomitar🤢,1,2,-1
"Assustador 😱😨😥😔 espero que não fique por isso mesmo, ela precisa processar esses vermes, além do canal de denuncia, que é uma excelente ideia, tem que processar e endurecer as leis e o cumprimento delas.",1,2,-1
demencia será?,1,2,-1
À imprensa podre elegeu .. pq é uma pirralha doutrinada .. parece até uma pessoa doente .. coitada .. usam a criatura .. as falas são devoradas .. lamentável 🤮,1,3,-1
Será que a Janaína está tão sensata assim! Eu tô achando que ela tá bem em cima do muro!,0,0,0
👏👏👏cadeia de novo pra esse imbecil de 9 dedos,1,3,-1
Esse Feliciano é um sujo carniceiro!,1,2,-1
VA GA BUN DO💩💩💩,1,2,-1
"Incitação do ódio, muito típico de vagabundos como Lula e Maduro. Como sempre nada mudou, devia ter ficado encarcerado em uma penitenciária comum, pois não tem né",1,1,-1
Parabéns grande professor! 🌹,0,0,0
Uma safada sem caráter.,1,3,8
@ronaldocaiado Vamos abrir mais colégios militares em Goiânia 😀,0,0,0
Não vou perder essa entrevista por nada!,0,0,0
Essa menina é louca!! Aff!,1,1,-1
"Toma Otarios que votaram nele olha que Elle so fode os pobres os Rico's tem tudo sabe me dizer Qual foi o ato dele contra os Rico's ,?",1,2,5
Força Ministra ...,0,0,0
Que seja condenado,1,3,-1
Um tremendo FDP 😒😒😒😒,1,1,-1
👏👏 👏👏 parabéns vamos fazer valer a justiça!!,0,0,0
"Bem, após breve reflexão sem tomar decisões por impulso, deixo de seguir.",0,0,0
#Globolixo,1,2,-1
E ele quer decidir até as eleições vizinhas.,0,0,0
"Me dá pena também, de ver o seu país hoje em dia!!",0,0,0
#somostodosdamares Força ministra! Vc é testada todos os dias pelo inimigo mas Deus sabe o q você pode aguentar. O Brasil está com vc!,0,0,0
Maravilha.,0,0,0
👏👏👏esse é o Presidente que o Brasil precisa!!!,0,0,0
Ela é ótima jornalista🌺,0,0,0
Amor cristão.,0,0,0
"Joice , assim é a Democlasia , fala quem quer e o ele disse é o q os Brasileiros de bem querem . Todo os deputados falam e fazem merda ,",1,3,-1
Eu tenho pena é de você não ter sido da época do grande General Pinochet que lamentavelmente deixou sobrar este resquício de desgraça.,1,1,2
Linda!!!❤️.,0,0,0
Que vontade de dar um abraço nos dois! ❤️,0,0,0
Como um país deste anda pra frente?Ontem era Bolsonaro hoje é inimiga e detesta o cara ...que falsidade .,1,3,-1
Gostou do preconceito do seu presidente com Roraima governador? @antoniodenariumrr ou vai fingir não entender?,0,0,0
Nojooooo,1,2,-1
"@brihnog, esses professores são incríveis mesmo❤️",0,0,0
Parabéns professor ❤️ tudo poderia ter sido diferente...no RS os professores estão sendo massacrados...😞,0,0,0
Muito triste e revoltante,0,0,0
😢 A gente chora junto.,0,0,0
Ate quando SENHOR vamos ter que Suportar noticias sobre (recursos) e mais (recursos) deste Criminoso IMORAL e COVARDE? NÃO SUPORTO MAIS VER OU OUVIR QUALQUER TIPO DE ASSUNTO AS OBRE,1,3,-1
Cadê o MPF?? Tv é uma concessão pública!!! Esse depravado não pode fazer da emissora e do programa dele o que bem quer e entende.,1,2,-1
"Pena que as grandes personalidades não apoiaram a nossa Miss Brasil, que levou um projeto empoderado e um traje típico em homenagem à Marta com um protesto contra a agressão doméstica. @juliahorta arrasou. A noite foi salva pela Miss SA que foi perfeita!",0,0,0
😡Ridícula,1,2,-1
"Têm que haver uma maneira de combater esses miseráveis. Deus me perdoe, mas eles se acham que podem fazer o que querem.aff",1,3,-1
Cretino,1,3,-1
KD a votação da PL 3723/2019,0,0,0
👏👏Parabéns,0,0,0
Um AI5 ia cair muito bem no Brasil hoje.,0,0,0
É mais uma ameaça desse louco!?,1,1,-1
"Gente, na moral, Foda-se as asneiras que esse débil fala. Vamos parar de dar Ibope",1,2,-1
FDPS,1,2,-1
Muito inteligente!👏👏,0,0,0
"Não estou nem um pouco preocupado com a Greta, vão procurar o que fazer, parem de lacrar na fala dias outros, vão trabalhar. greta pra mim é o espaço entre dois objetos. Nada mais quer isso",1,1,-1
Tem que arrumar casa🇧🇷🇧🇷🇧🇷,0,0,0
"Penso que não adianta discutir contra opositores, e sim atitudes",0,0,0
Kkkkkkkkk GloboLixo ja virou chacota!,1,1,-1
Um absurdo é o povo não manifestar nas ruas.,0,0,0
Com certeza👏👏👏👏,0,0,0
"O problema do Presidente são os filhos dele. Se soubessem pensar mais, não teríamos metade dessas coisas.",0,0,0
👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏,0,0,0
Kkkkkk outra babaca.,1,1,-1
Sera o maximo! Dois icones! Adooooro! 👏👏👏👏👏👏🙏🙏🙏🙏❤️❤️❤️❤️🇺🇸🇧🇷🇺🇸🇧🇷🇺🇸🇧🇷,0,0,0
Quem planta um dia colhe.....que sirva de lição. Se é que vai servir mesmo.,0,0,0
A Globo é um.lixo hoje falou o tempo todo acusando o Bolsonaro..Cadê os 19 governadores da esquerda do Nordeste??,1,2,5
Amores❤️❤️❤️,0,0,0
Maravilhosa linda exemplar Vitória merecida demais,0,0,0
Meu filho estuda no CMB!! O melhor colégio com o melhor ensino de Brasília!!!,0,0,0
"Haddad vc perdeu a eleição, mas eu não perdi meu voto.",0,0,0
"O único desejo do Pt facção criminosa é dinheiro é poder,o comunismo é devastador 😟 corrosivo, não faz sentido o comportamento desse pessoal de não aceitar que perderam o poder,bando de doentes egoístas avarentos",1,3,5
Esse bandido tem que cair fora,1,2,-1
"A ministra é top , não estão acostumados c mulheres inteligentes 🇧🇷🇧🇷🙏🙏",0,0,0
BURRO!!!,1,3,-1
"Nunca deu bola para a Deputada Janaina Paschoal, agora ta puxando sardinha pro lado dela pra ela vir jogar no seu time neeee?",0,0,0
Sepulcro caiado😈,1,1,-1
"Admiro muito vcs, estamos juntos ❤️❤️",0,0,0
Parabéns Presidente 🙌🙌🇧🇷,0,0,0
Fdpta,1,3,-1
"UAUUUUUUUUUUU, ENGULAM ESQUERDA",1,1,5
Comeste bosta Gleice?! Kkkkkkkkk,1,2,-1
Socorro,0,0,0
Parabéns 🍾,0,0,0
"99,9% dos políticos roubam, se todos fossem honestos alguns deles não estariam presos ou os advogados deles não sabem trabalhar... 👊🏾👊🏽🇧🇷🇧🇷🇧🇷🇧🇷",0,0,0
Clínica. Faz parte da esquerda demoníaca.,1,3,5
Eu amo presi 💙,0,0,0
Parabéns a ela e família amem bj é lindíssima,0,0,0
Varam votar no bozo isso que dá o pt não era bom o suficiente pra povo.kkkkkk lula livre,0,0,0
"Esse tal que falou tamanha asneira a nossa amável ministra, não é um homem e sim animal! Que Deus te abençoe nessa grande missão!",1,3,-1
RS merece😂,0,0,0
Vai a farti tu e ste foto del cazzo e a cui nessuno frega un cazzo,1,3,-1
"Velho nojento 🤮,igual o mito 😰",1,2,-1
Exatamente . Está na hora de parar de falar besteira e de prejudicar a imagem do pai!,0,0,0
O Lula vai ?,0,0,0
Tu manuela é um resumo de tudo que não presta nesse mundo! Você presta um desserviço à sociedade brasileira. Pegue suas coisinhas é saia de mansinho. #avantebrasil,1,2,-1
FDPUTA!,1,1,-1
Vindo desta corja era de se esperar,1,3,-1
À Vitória!,0,0,0
Hipócritas,1,2,-1
"E aí carla, fazemos o que?",0,0,0
"Fala de bolsominio: A culpa de tudo é da esquerda,blablabla",1,1,5
"Vai cuidar do seu quintal, que o nosso a gente cuida,,corrupta😤",1,2,-1
Dois lindos 😍😍,0,0,0
"Sai fora vaga, vagaba",1,3,8
Só passando vergonha esse bando de inútil,1,2,-1
